"filename", "language", "Markdown", "Go Checksum File", "Go", "Protocol Buffers", "Go Module File", "JSON", "comment", "blank", "total"
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/round_2.go", "Go", 0, 0, 66, 0, 0, 0, 0, 13, 79
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/round_3.go", "Go", 0, 0, 140, 0, 0, 0, 5, 24, 169
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/round_final.go", "Go", 0, 0, 55, 0, 0, 0, 4, 15, 74
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/rounds.go", "Go", 0, 0, 77, 0, 0, 0, 5, 13, 95
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/save_data.go", "Go", 0, 0, 45, 0, 0, 0, 3, 10, 58
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/auxiliary/test_utils.go", "Go", 0, 0, 59, 0, 0, 0, 4, 7, 70
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/local_party.go", "Go", 0, 0, 140, 0, 0, 0, 11, 31, 182
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/local_party_test.go", "Go", 0, 0, 175, 0, 0, 0, 13, 38, 226
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/round_1.go", "Go", 0, 0, 126, 0, 0, 0, 6, 20, 152
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/round_2.go", "Go", 0, 0, 146, 0, 0, 0, 7, 23, 176
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/round_3.go", "Go", 0, 0, 169, 0, 0, 0, 9, 36, 214
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/round_final.go", "Go", 0, 0, 69, 0, 0, 0, 2, 19, 90
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/rounds.go", "Go", 0, 0, 99, 0, 0, 0, 6, 15, 120
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/save_data.go", "Go", 0, 0, 59, 0, 0, 0, 4, 9, 72
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/presign/test_utils.go", "Go", 0, 0, 58, 0, 0, 0, 0, 9, 67
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/local_party.go", "Go", 0, 0, 157, 0, 0, 0, 13, 31, 201
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/local_party_test.go", "Go", 0, 0, 198, 0, 0, 0, 19, 46, 263
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/messages.go", "Go", 0, 0, 237, 0, 0, 0, 7, 34, 278
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/round_1.go", "Go", 0, 0, 122, 0, 0, 0, 6, 19, 147
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/round_2.go", "Go", 0, 0, 135, 0, 0, 0, 16, 23, 174
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/round_3.go", "Go", 0, 0, 158, 0, 0, 0, 18, 36, 212
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/round_4.go", "Go", 0, 0, 87, 0, 0, 0, 1, 21, 109
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/round_final.go", "Go", 0, 0, 83, 0, 0, 0, 8, 20, 111
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/rounds.go", "Go", 0, 0, 99, 0, 0, 0, 6, 15, 120
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/sign.pb.go", "Go", 0, 0, 430, 0, 0, 0, 17, 61, 508
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/sign/sign.proto", "Protocol Buffers", 0, 0, 0, 44, 0, 0, 0, 6, 50
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/signing/local_party.go", "Go", 0, 0, 128, 0, 0, 0, 10, 24, 162
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/signing/local_party_test.go", "Go", 0, 0, 186, 0, 0, 0, 16, 41, 243
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/signing/prepare.go", "Go", 0, 0, 29, 0, 0, 0, 0, 6, 35
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/signing/round_1.go", "Go", 0, 0, 74, 0, 0, 0, 2, 15, 91
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/signing/round_final.go", "Go", 0, 0, 84, 0, 0, 0, 8, 20, 112
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/ecdsa/signing/rounds.go", "Go", 0, 0, 87, 0, 0, 0, 6, 15, 108
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/local_party.go", "Go", 0, 0, 123, 0, 0, 0, 9, 27, 159
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/local_party_test.go", "Go", 0, 0, 176, 0, 0, 0, 11, 37, 224
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/round_1.go", "Go", 0, 0, 122, 0, 0, 0, 6, 22, 150
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/round_2.go", "Go", 0, 0, 97, 0, 0, 0, 4, 20, 121
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/round_final.go", "Go", 0, 0, 71, 0, 0, 0, 4, 21, 96
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/rounds.go", "Go", 0, 0, 91, 0, 0, 0, 6, 15, 112
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/save_data.go", "Go", 0, 0, 57, 0, 0, 0, 4, 9, 70
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/test_utils.go", "Go", 0, 0, 58, 0, 0, 0, 0, 9, 67
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/presign/utils.go", "Go", 0, 0, 78, 0, 0, 0, 7, 23, 108
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/local_party.go", "Go", 0, 0, 139, 0, 0, 0, 12, 30, 181
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/local_party_test.go", "Go", 0, 0, 204, 0, 0, 0, 16, 45, 265
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/messages.go", "Go", 0, 0, 127, 0, 0, 0, 6, 22, 155
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/round_1.go", "Go", 0, 0, 118, 0, 0, 0, 6, 21, 145
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/round_2.go", "Go", 0, 0, 96, 0, 0, 0, 4, 20, 120
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/round_3.go", "Go", 0, 0, 106, 0, 0, 0, 6, 26, 138
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/round_final.go", "Go", 0, 0, 64, 0, 0, 0, 3, 17, 84
"/home/aping/code/mpc/mpc-tss/protocols/cggmp/eddsa/sign/rounds.go", "Go", 0, 0, 95, 0, 0, 0, 6, 15, 116
